Country,code,treaty,year_of_ratification,discrimination_illegal,women_in_parliament
Afghanistan,AFG,Not Signed,NA,0,27.0161290322581
Albania,ALB,Ratified,2003,1,29.5081967213115
Algeria,DZA,Not Signed,NA,0,25.7575757575758
Andorra,AND,Ratified,2002,NA,NA
Angola,AGO,Ratified,2007,0,30
Antigua and Barbuda,ATG,Ratified,2006,1,11.1111111111111
Argentina,ARG,Ratified,2007,1,40.8560311284047
Armenia,ARM,Ratified,2006,0,23.4848484848485
Australia,AUS,Ratified,2008,1,30.4635761589404
Austria,AUT,Ratified,2000,0,39.344262295082
Azerbaijan,AZE,Ratified,2001,1,17.3553719008264
Bahamas,BHS,Not Signed,NA,1,12.8205128205128
Bahrain,BHR,Not Signed,NA,0,15
Bangladesh,BGD,Ratified,2000,0,20.9169054441261
Barbados,BRB,Not Signed,NA,0,20
Belarus,BLR,Ratified,2004,0,40
Belgium,BEL,Ratified,2004,1,41.3333333333333
Belize,BLZ,Ratified,2002,0,9.67741935483871
Benin,BEN,Ratified,2019,1,7.2289156626506
Bhutan,BTN,Not Signed,NA,0,14.8936170212766
Bolivia (Plurinational State of),BOL,Ratified,2000,0,46.1538461538462
Bosnia and Herzegovina,BIH,Ratified,2002,1,26.1904761904762
Botswana,BWA,Ratified,2007,0,10.7692307692308
Brazil,BRA,Ratified,2002,1,14.6198830409357
Brunei Darussalam,BRN,Not Signed,NA,0,9.09090909090909
Bulgaria,BGR,Ratified,2006,1,26.6666666666667
Burkina Faso,BFA,Ratified,2005,0,6.2992125984252
Burundi,BDI,Signed But Not Ratified,NA,1,38.2113821138211
Cabo Verde,CPV,Ratified,2011,0,25
Cambodia,KHM,Ratified,2010,1,20
Cameroon,CMR,Ratified,2005,0,33.8888888888889
Canada,CAN,Ratified,2002,0,28.9940828402367
Central African Republic,CAF,Ratified,2016,0,8.57142857142857
Chad,TCD,Signed But Not Ratified,NA,1,15.4320987654321
Chile,CHL,Ratified,2020,0,22.5806451612903
China,CHN,Not Signed,NA,1,24.9411764705882
Colombia,COL,Ratified,2007,0,18.3431952662722
Comoros,COM,Not Signed,NA,1,16.6666666666667
Congo,COG,Signed But Not Ratified,NA,0,11.2582781456954
Cook Islands,COK,Ratified,2007,NA,NA
Costa Rica,CRI,Ratified,2001,0,45.6140350877193
Côte d'Ivoire,CIV,Ratified,2012,1,11.3725490196078
Croatia,HRV,Ratified,2001,0,31.1258278145695
Cuba,CUB,Signed But Not Ratified,NA,NA,NA
Cyprus,CYP,Ratified,2002,1,19.6428571428571
Czech Republic,CZE,Ratified,2001,1,22.5
Democratic People's Republic of Korea,PRK,Not Signed,NA,NA,NA
Democratic Republic of the Congo,COD,Not Signed,NA,0,12.8
Denmark,DNK,Ratified,2000,0,39.6648044692737
Djibouti,DJI,Not Signed,NA,1,26.1538461538462
Dominica,DMA,Not Signed,NA,0,34.375
Dominican Republic,DOM,Ratified,2001,0,27.8947368421053
Ecuador,ECU,Ratified,2002,0,39.4160583941606
Egypt,EGY,Not Signed,NA,0,27.4111675126904
