"county","trump_votes2016","clinton_votes2016","trump_votes2020","biden_votes2020","covid_hosp","Population"
"Adams County",8659,2326,9660,2130,34,27698
"Allen County",30487,13294,32052,13611,300,102351
"Ashland County",17493,5740,19002,6448,57,53484
"Ashtabula County",23318,15577,26225,16207,136,97241
"Athens County",11354,16370,10386,14047,55,65327
"Auglaize County",18658,3980,20451,4583,111,45656
"Belmont County",21108,8785,23110,9011,67,67006
"Brown County",14573,4353,16032,4326,40,43432
"Butler County",106976,58642,111722,67729,562,383134
"Carroll County",9254,3154,10525,3206,29,26914
"Champaign County",12631,4594,14086,4946,43,38885
"Clark County",35205,23328,38217,23625,185,134083
"Clermont County",67518,26715,73077,33505,264,206428
"Clinton County",13838,4066,15061,4556,71,41968
"Columbiana County",31676,12432,35124,13183,259,101883
"Coshocton County",10785,4013,11982,4057,74,36600
"Crawford County",13611,4625,15043,4831,90,41494
"Cuyahoga County",184211,398271,195089,402315,2955,1235072
"Darke County",20012,4470,21569,4668,138,51113
"Defiance County",11688,5368,12778,5870,81,38087
"Delaware County",57568,40872,65163,56961,118,209177
"Erie County",19648,16057,21724,17142,180,74266
"Fairfield County",44314,24881,49714,30634,253,157574
"Fayette County",7995,2739,9220,2911,74,28525
"Franklin County",199331,351198,203154,391584,2393,1316756
"Fulton County",13709,6069,15396,6595,55,42126
"Gallia County",9822,2628,10289,2911,49,29898
"Geauga County",30227,17569,33581,20980,132,93649
"Greene County",48540,28943,50937,34023,242,168937
"Guernsey County",11445,4359,13077,4498,51,38875
"Hamilton County",173665,215719,173015,238101,1397,817473
"Hancock County",24183,9609,25796,11535,116,75783
"Hardin County",8717,2920,9698,3025,65,31365
"Harrison County",5098,1688,5668,1742,17,15040
"Henry County",9301,3756,10273,3995,67,27006
"Highland County",14020,3773,15369,3741,52,43161
"Hocking County",8497,3775,9554,3836,43,28264
"Holmes County",8720,1788,10645,1981,137,43960
"Huron County",16226,7192,18537,7643,92,58266
"Jackson County",9949,3226,10804,3193,51,32413
"Jefferson County",21117,9675,22309,9823,86,65325
"Knox County",19131,8171,21825,8433,88,62322
"Lake County",64255,46397,71615,54337,252,230149
"Lawrence County",18689,6974,19759,7353,132,59463
"Licking County",51241,27376,57965,32324,233,176862
"Logan County",15957,4647,17625,4990,49,45672
"Lorain County",66818,66949,76719,72792,343,309833
"Lucas County",75698,110833,79628,111989,1021,428348
"Madison County",11631,4779,13445,5558,74,44731
"Mahoning County",53616,57381,58601,56346,615,228683
"Marion County",16961,7928,18526,8089,165,65093
"Medina County",54810,32182,63451,39326,188,179746
"Meigs County",7309,2260,8163,2452,23,22907
"Mercer County",17506,3384,19145,3981,209,41172
"Miami County",37079,13120,40531,15420,226,106987
"Monroe County",4868,1662,5392,1597,30,13654
"Montgomery County",123909,122016,126085,131592,1469,531687
"Morgan County",4431,1736,4932,1703,8,14508
"Morrow County",11948,3761,13784,3988,36,35328
"Muskingum County",24056,11123,27334,11755,143,86215
"Noble County",4549,1221,5024,1156,25,14424
"Ottawa County",12653,8285,14285,8847,72,40525
"Paulding County",6500,2093,6927,2172,46,18672
"Perry County",10228,4138,11959,4006,43,36134
"Pickaway County",17076,6529,20059,7167,129,58457
"Pike County",7902,3539,8872,3051,52,27772
"Portage County",39971,32397,45034,34935,186,162466
"Preble County",15446,4325,16697,4435,103,40882
"Putnam County",14961,2922,16218,3152,124,33861
"Richland County",36590,16085,40534,17231,221,121154
"Ross County",18652,10356,21687,10345,221,76666
"Sandusky County",16316,9929,18487,10391,117,58518
"Scioto County",20550,9132,21926,8876,123,75314
"Seneca County",14825,7404,16739,8147,83,55178
"Shelby County",18590,4243,19988,4399,81,48590
"Stark County",98388,68146,108610,74336,475,370606
"Summit County",112026,134256,122023,148151,1014,541013
"Trumbull County",49024,43014,53756,43534,439,197974
"Tuscarawas County",26918,12188,29519,12643,221,91987
"Union County",18096,7718,21233,10985,44,58988
"Van Wert County",10469,2697,11470,3026,34,28275
"Vinton County",3883,1351,4525,1306,17,13085
"Warren County",77643,33730,85069,45040,335,234602
"Washington County",20514,8026,21798,9114,33,59911
"Wayne County",32270,15031,36059,16340,187,115710
"Williams County",11939,4358,13218,4726,48,36692
"Wood County",32498,27318,34815,29797,258,130817
"Wyandot County",7468,2515,8248,2690,34,21772
